k,n,el_str,total_coe,rep_coe,reference,order,composition,rep_linear,307,Unnamed: 9
8,4.0,2 6,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"(7.4), \ \eta_4\sigma'''=0",0.0,\eta4\sigma''',0,,
9,9.0,8 2 2,1.0,0 0 0 0 0 0 0 0 0 0 0 0,E (E \sigma'\eta_{15}^2)=0,0.0,E^2\sigma'\eta16^2,0,,
9,10.0,9 2 2,1.0,0 1 0 1 0 0 0 0 0 0 0 0,E (\sigma_9\eta_{16}^2)=\nu_{10}^3+\eta_{10}\varepsilon_{11},2.0,\sigma10\eta17^2,\nu10^3+\eta10\varepsilon11,,
9,6.0,11 2,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"Lem6.3, \ \bar{\nu}_{6}\eta_{14}=\nu_{6}^3",2.0,\bar{\nu}6\eta14,\nu6^3,,
9,6.0,2 11,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"Lem6.3, \ \eta_{6}\bar{\nu}_{7}=\nu_{6}^3",2.0,\eta6\bar{\nu}7,\nu6^3,,
9,5.0,2 11,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"(7.3), \ \eta_{5}\bar{\nu}_6=\nu_{5}^3",2.0,\eta5\bar{\nu}6,\nu5^3,,
9,3.0,10 2,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"(7.5), \ \varepsilon_3\eta_{11}=\eta_3\varepsilon_4",2.0,\varepsilon3\eta11,\eta3\varepsilon4,,
9,8.0,2 11,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_{8}\bar{\nu}_{9}=\bar{\nu}_{8}\eta_{16} \ (=\nu_{8}^3)",2.0,\eta8\bar{\nu}9,\nu8^3,,
9,8.0,11 2,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_{8}\bar{\nu}_{9}=\bar{\nu}_{8}\eta_{16} \ (=\nu_{8}^3)",2.0,\bar{\nu}8\eta16,\nu8^3,,
9,5.0,10 2,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_5\varepsilon_6=\varepsilon_5\eta_{13}",2.0,\varepsilon5\eta13,\eta5\varepsilon6,,
9,5.0,2 10,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_5\varepsilon_6=\varepsilon_5\eta_{13}",2.0,\eta5\varepsilon6,\eta5\varepsilon6,,
10,3.0,2 2 10,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"Lem6.6, \ E (\eta_{2}^2\varepsilon_{4})=2\varepsilon'",2.0,\eta3^2\varepsilon5,2\varepsilon',,
10,5.0,4 8,1.0,2 0 0 0 0 0 0 0 0 0 0 0,E (\nu_4\sigma')=\pm 2\nu_5\sigma_8,4.0,\nu5E\sigma',2\nu5\sigma8,,
10,5.0,14,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"(7.10), \ E (E \varepsilon')=\pm 2\nu_5\sigma_8",4.0,E^2\varepsilon',2\nu5\sigma8,,
10,9.0,4 9,1.0,2 0 0 0 0 0 0 0 0 0 0 0,E (\nu_8\sigma_{11})=2\sigma_9\nu_{16},4.0,\nu9\sigma12,2\sigma9\nu16,,
10,12.0,9 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"(7.20), \ \sigma_{12}\nu_{19}=0",0.0,\sigma12\nu19,0,,
10,7.0,8 4,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"(7.19), \ \sigma'\nu_{14}=x\nu_7\sigma_{10}, \ x:odd",8.0,\sigma'\nu14,\nu7\sigma10,,
10,5.0,12 2,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_5\mu_6=\mu_5\eta_{14}",2.0,\mu5\eta14,\eta5\mu6,,
10,5.0,2 12,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_5\mu_6=\mu_5\eta_{14}",2.0,\eta5\mu6,\eta5\mu6,,
10,12.0,4 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_{12}\sigma_{15}=\sigma_{12}\nu_{19} \ (=0)",0.0,\nu12\sigma15,0,,
