k,n,el_str,total_coe,rep_coe,reference,order,composition,rep_linear,307,Unnamed: 9
16,13.0,2 30,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"Prop12.20, \  \eta_{13}\rho_{14}=\sigma_{13}\mu_{20}",2.0,\eta13\rho14,\sigma13\mu20,,
16,13.0,30 2,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"Prop12.20, \  \rho_{13}\eta_{28}=\sigma_{13}\mu_{20}",2.0,\rho13\eta28,\sigma13\mu20,,
16,12.0,2 30,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"Prop12.20, \  \eta_{12}\rho_{13}=\sigma_{12}\mu_{19}",2.0,\eta12\rho13,\sigma12\mu19,,
16,5.0,25 2,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \  \bar{\varepsilon}_5\eta_{20}=\eta_5\bar{\varepsilon}_6",2.0,\bar{\varepsilon}5\eta20,\eta5\bar{\varepsilon}6,,
16,5.0,2 25,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \  \bar{\varepsilon}_5\eta_{20}=\eta_5\bar{\varepsilon}_6",2.0,\eta5\bar{\varepsilon}6,\eta5\bar{\varepsilon}6,,
16,15.0,30 2,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"Prop3.1, \  \rho_{15}\eta_{30}=\eta_{15}\rho_{16} \ (=\sigma_{13}\mu_{20})",2.0,\rho15\eta30,\sigma15\mu22,,
16,15.0,2 30,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"Prop3.1, \  \rho_{15}\eta_{30}=\eta_{15}\rho_{16} \ (=\sigma_{13}\mu_{20})",2.0,\eta15\rho16,\sigma15\mu22,,
16,11.0,9 12,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \  \sigma_{11}\mu_{18}=\mu_{11}\sigma_{20}",2.0,\sigma11\mu18,\sigma11\mu18,,
16,9.0,10 11,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \  \varepsilon_9\bar{\nu}_{17}=\bar{\nu}_9\varepsilon_{17} \ (=0)",0.0,\varepsilon9\bar{\nu}17,0,,
16,11.0,12 9,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \  \sigma_{11}\mu_{18}=\mu_{11}\sigma_{20}",2.0,\mu11\sigma20,\sigma11\mu18,,
16,9.0,11 10,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \  \varepsilon_9\bar{\nu}_{17}=\bar{\nu}_9\varepsilon_{17} \ (=0)",0.0,\bar{\nu}9\varepsilon17,0,,
16,16.0,113,1.0,1 0 1 0 0 0 0 0 0 0 0 0,"[O] (2.1), \ B_{1}\equiv \eta^{*}_{16}+\omega_{16} \mod E \eta^{*}{'} , \ \sigma_{16}\mu_{23}",2.0,B_{1},\eta^{*}16+\omega16,,
16,15.0,112,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"[O] (2.1), \ D_1=\eta^{*}{'} \mod \sigma_{15}\mu_{22}",2.0,D_{1},\eta^{*}{'},,
16,6.0,198,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"[O] (2.1), \  G_0=\zeta' \mod 2\zeta' ,\eta_6\bar{\varepsilon}_7",8.0,G_{0},\zeta',,
16,9.0,2 2 23,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MT] (15.4), \  \eta_{9}^2\kappa_{11}=\kappa_9\eta_{23}^2=0",0.0,\eta9^2\kappa11,0,,
16,9.0,23 2 2,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MT] (15.4), \  \eta_{9}^2\kappa_{11}=\kappa_9\eta_{23}^2=0",0.0,\kappa9\eta23^2,0,,
16,9.0,2 29,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O3] Prop2.2(4), \ {\eta_{9}}{E\rho'} = 0",1.0,{\eta_{9}}{E\rho'},0,,
16,10.0,29 2,1.0,8 0 0 0 0 0 0 0 0 0 0 0,"[O3] Prop2.2(4), \ {E\rho'}{\eta_{25}} = 8{\Delta(\sigma_{21})}",2.0,{E\rho'}{\eta_{25}},8{\Delta(\sigma_{21})},,
17,3.0,2 2 25,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"Lem12.3, \ 2\bar{\varepsilon}'=\eta_{3}^2\bar{\varepsilon}_5",2.0,\eta3^2\bar{\varepsilon}5,2\bar{\varepsilon}',,
17,5.0,4 8 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p144, \ \Delta(\sigma_{9}^2)=x(\nu_4\sigma'\sigma_{14})\pm E \varepsilon'\sigma_{14}",0.0,\nu5E\sigma'\sigma15,0,,
17,5.0,37,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"p144, \ \Delta(\kappa_9)=\pm (2(\nu_4\kappa_7)-E \bar{\varepsilon}')",2.0,E^2\bar{\varepsilon}',2\nu5\kappa8,,
17,9.0,8 2 12,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"(5.16), \ \Delta(\iota_{17})=\pm (2\sigma_8-E \sigma')",0.0,E^2\sigma'\eta16\mu17,0,,
17,10.0,2 12 9,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"(12.21), \ \Delta(\mu_{19})=\eta_9\mu_{10}\sigma_{19}+\sigma_9\eta_{16}\mu_{17}",2.0,\eta10\mu11\sigma20,\sigma10\eta17\mu18,,
17,17.0,35 2,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p160, \ \Delta(\eta^{*}{'}\eta_{32} \mod E ^2\pi_{31}^{14} ",0.0,E^2\eta^{*}{'}\eta_{33},0,,
17,18.0,36 2,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_{18}\eta^{*}_{19}=\eta^{*}_{18}\eta_{34}=0",0.0,\eta^{*}18\eta34,0,,
17,4.0,3 23,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"Lem12.3, \ E \nu'\kappa_7=E \bar{\varepsilon}'",4.0,E\nu'\kappa7,E\bar{\varepsilon}',,
17,5.0,4 4 16,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p145, \ \nu_{5}^2\zeta_{11}=0",0.0,\nu5^2\zeta11,0,,
17,14.0,34 2,1.0,1 0 0 0 0 0 0 0 0 0 0 0,\omega_{14}\eta_{30}=\varepsilon^{*}_{14},2.0,\omega14\eta30,\varepsilon^{*}14,,
17,16.0,2 34,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \omega_{16}\eta_{32}=\eta_{16}\omega_{17} \ (=\varepsilon^{*}_{16})",2.0,\eta16\omega17,\varepsilon^{*}16,,
17,18.0,2 36,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_{18}\eta^{*}_{19}=\eta^{*}_{18}\eta_{34}=0",0.0,\eta18\eta^{*}19,0,,
17,16.0,34 2,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \omega_{16}\eta_{32}=\eta_{16}\omega_{17} \ (=\varepsilon^{*}_{16})",2.0,\omega16\eta32,\varepsilon^{*}16,,
17,11.0,4 23,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_{11}\kappa_{14}=\kappa_{11}\nu_{25}",2.0,\nu11\kappa14,\nu11\kappa14,,
17,6.0,10 12,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \varepsilon_6\mu_{14}=\mu_6\varepsilon_{15}",0.0,,,,
17,9.0,11 12,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \bar{\nu}_9\mu_{17}=\mu_9\bar{\nu}_{18}",0.0,,,,
17,11.0,23 4,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_{11}\kappa_{14}=\kappa_{11}\nu_{25}",2.0,\kappa11\nu25,\nu11\kappa14,,
17,6.0,12 10,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \varepsilon_6\mu_{14}=\mu_6\varepsilon_{15}",0.0,,,,
17,9.0,12 11,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \bar{\nu}_9\mu_{17}=\mu_9\bar{\nu}_{18}",0.0,,,,
17,3.0,12 11,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.1), \ \mu_3\bar{\nu}_{12}\equiv 0 \mod 2\bar{\varepsilon}'",2.0,\mu3\bar{\nu}12,2\bar{\varepsilon}',,
17,3.0,12 10,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"[MMO] (2.1), \ \mu_3\varepsilon_{12}\equiv \eta_3\mu_4\sigma_{13} \mod 2\bar{\varepsilon}'",2.0,\mu3\varepsilon12,2\bar{\varepsilon}'+\eta3\mu4\sigma13,,
17,5.0,12 11,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.1), \ {\mu_{5}}{\bar{\nu}_{14}} = 0",1.0,{\mu_{5}}{\bar{\nu}_{14}},0,,
18,3.0,2 37,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Lem5.7, \ E (\eta_2\bar{\varepsilon}')=0",0.0,\eta3E\bar{\varepsilon}',0,,
18,3.0,2 2 12 9,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"(7.7), \ 2\mu'=\eta_{3}^2\mu_5",2.0,\eta3^2\mu5\sigma14,2\mu'\sigma14,,
18,5.0,4 28,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p147, \ \Delta(\rho')=x \nu_{4}\rho''+ \ some",0.0,\nu5E\rho'',0,,
18,5.0,4 8 11,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p147, \ \Delta(\sigma_9\bar{\nu}_{16})=\nu_4\sigma'\bar{\nu}_{14}+E (\varepsilon'\bar{\nu}_{13})",0.0,\nu5E\sigma'\bar{\nu}15,0,,
18,5.0,4 8 10,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p147, \ \Delta(\sigma_9\varepsilon_{16})=\nu_4\sigma'\varepsilon_{14}+E (\varepsilon'\varepsilon_{13})",0.0,\nu5E\sigma'\varepsilon15,0,,
18,5.0,4 25,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"(5.8), \ \Delta(\bar{\varepsilon}_9)=E \nu'\bar{\varepsilon}_7",2.0,\nu5\bar{\varepsilon}8,\nu5\bar{\varepsilon}8,,
18,5.0,15 9,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"(7.14), \ 2\zeta_5=\pm E^2\mu'",4.0,E^2\mu'\sigma16,2\zeta5\sigma16,,
18,6.0,4 25,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p148, \ \Delta(\kappa_{11})=\nu_5\bar{\varepsilon}_8",0.0,\nu6\bar{\varepsilon}9,0,,
18,9.0,16 9,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"p148, \ \Delta(\zeta_{17})=\pm (2\sigma_8\zeta_{15}-x\zeta_8\sigma_{19}) , \ x:odd",4.0,\zeta9\sigma20,2\sigma9\zeta16,,
18,10.0,9 16,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"Unknown , \ E (\sigma_{9}\zeta_{16})=\pm 2\lambda''+ \ some",0.0,\sigma10\zeta17,0,,
18,11.0,42,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"Lem12.19, \ E \lambda''=2\lambda'",4.0,E\lambda'',2\lambda',,
18,11.0,43,1.0,0 2 0 0 0 0 0 0 0 0 0 0,"Lem12.19, \ E \xi''=2\xi'",2.0,E\xi'',2\xi',,
18,13.0,44,1.0,0 2 0 0 0 0 0 0 0 0 0 0,"Lem12.19, \ E ^2\lambda'=2\lambda",4.0,E^2\lambda',2\lambda,,
18,13.0,45,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"Lem12.19, \ E \xi'-2\xi_{12}=\pm \Delta(\sigma_{25})",4.0,E^2\xi',2\xi13,,
18,17.0,47,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"Lem12.18, \ E^{3}\lambda-2\nu^{*}_{16}=\pm \Delta(\nu_{33})",4.0,E^4\lambda,2\nu^{*}17,,
18,20.0,46,1.0,-1 0 0 0 0 0 0 0 0 0 0 0,"Cor12.25, \ \Delta(\iota_{39})=\nu^{*}_{19}+\xi_{19}",0.0,\xi20,-\nu^{*}20,,
18,7.0,8 16,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"Lem12.12, \ \sigma'\zeta_{14}=x\zeta_7\sigma_{18}, \ x:odd",8.0,\sigma'\zeta14,\zeta7\sigma18,,
18,5.0,38 2,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_5\bar{\mu}_6=\bar{\mu}_5\eta_{22}",2.0,\bar{\mu}5\eta22,\eta5\bar{\mu}6,,
18,5.0,2 38,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_5\bar{\mu}_6=\bar{\mu}_5\eta_{22}",2.0,\eta5\bar{\mu}6,\eta5\bar{\mu}6,,
18,14.0,2 40,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_{14}\varepsilon^{*}_{15}=\varepsilon^{*}_{14}\eta_{31}",0.0,,,,
18,7.0,4 25,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1 , \ [MMO] (2.2), \ \nu_7\bar{\varepsilon}_{10}=\bar{\varepsilon}_7\nu_{22} \ (=0)",0.0,\nu7\bar{\varepsilon}10,0,,
18,17.0,4 30,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_{17}\rho_{20}=-\rho_{17}\nu_{32}",0.0,,,,
18,13.0,9 16,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \sigma_{13}\zeta_{20}=\zeta_{13}\sigma_{24} \ (=0)",0.0,\sigma13\zeta20,0,,
18,7.0,25 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_7\bar{\varepsilon}_{10}=\bar{\varepsilon}_7\nu_{22} \ (=0)",0.0,\bar{\varepsilon}7\nu22,0,,
18,17.0,30 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_{17}\rho_{20}=-\rho_{17}\nu_{32}",0.0,,,,
18,13.0,16 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \sigma_{13}\zeta_{20}=\zeta_{13}\sigma_{24} \ (=0)",0.0,\zeta13\sigma24,0,,
18,6.0,4 29,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.1), \ \nu_6\rho'\equiv 0 \mod 2\zeta_6\sigma_{17}",4.0,\nu6\rho',2\zeta6\sigma17,,
18,9.0,2 12 10,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.3), \ \eta_9\mu_{10}\varepsilon_{19}=0",0.0,\eta9\mu10\varepsilon19,0,,
18,11.0,16 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.3), \ \zeta_{11}\sigma_{22}=0",0.0,\zeta11\sigma22,0,,
18,6.0,4 4 21,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O] Prop3.1(1), \ \nu_{6}^2\theta=0",0.0,\nu6^2\theta,0,,
18,9.0,2 2 9 12,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O] Prop3.5(7), \ \eta_{9}^2\sigma_{11}\mu_{18}=0",0.0,\eta9^2\sigma11\mu18,0,,
18,5.0,4 9 9 2,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O3] Prop2.4(1), \ {\nu_{5}}{\sigma_{8}^{2}}{\eta_{22}} = 0",1.0,{\nu_{5}}{\sigma_{8}^{2}}{\eta_{22}},0,,
19,3.0,2 15 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p149, \ \Delta(\zeta_5\sigma_{16})\equiv \pm (\eta_2\mu'\sigma_{14}) \mod \{ \eta_2\nu'\bar{\varepsilon}_6 \}+ \{\eta_{2}^2\bar{\mu}_4 \}",0.0,\eta3E\mu'\sigma15,0,,
19,3.0,2 3 25,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Lem5.7, \ \Delta(\nu_5)=\pm (\eta_2\nu')",0.0,\eta3E\nu'\bar{\varepsilon}7,0,,
19,3.0,2 2 38,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"Lem12.4, \ 2\bar{\mu}'=\eta_{3}^2\bar{\mu}_5",2.0,\eta3^2\bar{\mu}5,2\bar{\mu}',,
19,5.0,4 8 12,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p150, \ \Delta(\sigma_9\mu_{16})=\nu_4\sigma'\mu_{14}+E (\varepsilon'\mu_{13})",0.0,\nu5E\sigma'\mu15,0,,
19,5.0,4 32,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p150, \ \Delta(\sigma_9\eta_{16}\varepsilon_{17})=\nu_4E \zeta'+E (\varepsilon'\eta_{13}\varepsilon_{14})",0.0,\nu5E^2\zeta',0,,
19,5.0,4 2 25,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p150, \ \Delta(\sigma_9\nu_{16}^3)=\nu_4\eta_7\bar{\varepsilon}_8+E (\varepsilon'\nu_{13}^3)",0.0,\nu5\eta8\bar{\varepsilon}9,0,,
19,5.0,49,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"Lem12.4, \ E^2\bar{\mu}'=2\bar{\zeta}_5",4.0,E^2\bar{\mu}',2\bar{\zeta}5,,
19,5.0,3 12 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p150, \ \Delta(\mu_9\sigma_{18})=E \nu'\mu_7\sigma_{16}",0.0,E^2\nu'\mu8\sigma17,0,,
19,6.0,4 12 9,1.0,0 16 0 0 0 0 0 0 0 0 0 0,"p151, \ 16\bar{\sigma}_6=\nu_6\mu_9\sigma_{18}",2.0,\nu6\mu9\sigma18,16\bar{\sigma}6,,
19,13.0,44 2,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"(12.26), \ P\pi_{33}^{25}=\{E \lambda'\eta_{30} \}\oplus \{E \xi'\eta_{30} \}",0.0,E^2\lambda'\eta31,0,,
19,13.0,45 2,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"(12.26), \ P\pi_{33}^{25}=\{E \lambda'\eta_{30} \}\oplus \{E \xi'\eta_{30} \}",0.0,E^2\xi'\eta31,0,,
19,14.0,52,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"Lem12.21, \ E^2\omega'=2\omega_{14}\nu_{30}",2.0,E^2\omega',2\omega14\nu30,,
19,14.0,46 2,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p166, \ \Delta(\sigma_{27})=\xi_{13}\eta_{31}",0.0,\xi14\eta32,0,,
19,18.0,34 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p170, \ \Delta(\nu_{35})=\omega_{17}\nu_{33}",0.0,\omega18\nu34,0,,
19,14.0,2 46,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_{14}\xi_{15}=\xi_{14}\eta_{32} \ (=0)",0.0,\eta14\xi15,0,,
19,18.0,2 48,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_{18}\nu^{*}_{19}=\nu^{*}_{18}\eta_{36}",0.0,,,,
19,18.0,4 34,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_{18}\omega_{21}=\omega_{18}\nu_{34} \ (=0)",0.0,\nu18\omega21,0,,
19,20.0,4 36,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_{20}\eta^{*}_{23}=\eta^{*}_{20}\nu_{36} \ (=0)",0.0,\nu20\eta^{*}23,0,,
19,8.0,10 16,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \varepsilon_8\zeta_{16}=\zeta_8\varepsilon_{19}",0.0,,,,
19,11.0,11 16,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \bar{\nu}_{11}\zeta_{19}=\zeta_{11}\bar{\nu}_{22}",0.0,,,,
19,20.0,36 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_{20}\eta^{*}_{23}=\eta^{*}_{20}\nu_{36} \ (=0)",0.0,\eta^{*}20\nu36,0,,
19,8.0,16 10,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \varepsilon_8\zeta_{16}=\zeta_8\varepsilon_{19}",0.0,,,,
19,11.0,16 11,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \bar{\nu}_{11}\zeta_{19}=\zeta_{11}\bar{\nu}_{22}",0.0,,,,
19,7.0,10 16,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.5), \ \varepsilon_7\zeta_{15}=0",0.0,\varepsilon7\zeta15,0,,
19,7.0,11 16,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.5), \ \bar{\nu}_7\zeta_{15}=0",0.0,\bar{\nu}7\zeta15,0,,
19,7.0,4 9 12,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.4), \ \nu_7\sigma_{10}\mu_{17}=0",0.0,\nu7\sigma10\mu17,0,,
19,11.0,20 9,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.6), \ \theta'\sigma_{23}=\xi'\eta_{29}",2.0,\theta'\sigma23,\xi'\eta29,,
19,15.0,2 48,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"[O] Prop3.1(1), \ \eta_{15}\nu^{*}_{16}=\omega_{15}\nu_{31}",2.0,\eta15\nu^{*}16,\omega15\nu31,,
19,12.0,200,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"[O] (2.2), \ A_{1}^{I}\equiv \omega' \mod \xi_{12}\eta_{30} , \ E \lambda'\eta_{30} , \ E \xi'\eta_{30}",2.0,A_{1}^{I},\omega',,
19,11.0,202,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"[O] (2.2), \ C_{1}^{I}\equiv \lambda'\eta_{29} \mod \xi'\eta_{29}",2.0,C_{1}^{I},\lambda'\eta29,,
19,12.0,106 9,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O] (2.4), \ A_{1}\sigma_{24}\equiv \xi_{12}\eta_{30} \mod E \xi'\eta_{30} , \ E \lambda'\eta_{30}",2.0,A_{1}\sigma24,\xi12\eta30,,
19,11.0,122 9,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O] (2.4), \ C_{1}\sigma_{23}=\xi'\eta_{29}",2.0,C_{1}\sigma23,\xi'\eta29,,
19,5.0,16 10,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.2(3), \ {\zeta_{5}}{\varepsilon_{16}} = {\nu_{5}}{\mu_{8}}{\sigma_{17}}",2.0,{\zeta_{5}}{\varepsilon_{16}},{\nu_{5}}{\mu_{8}}{\sigma_{17}},,
19,5.0,16 2 9,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.2(3), \ {\zeta_{5}}{\eta_{16}}{\sigma_{17}} = {\nu_{5}}{\mu_{8}}{\sigma_{17}}",2.0,{\zeta_{5}}{\eta_{16}}{\sigma_{17}},{\nu_{5}}{\mu_{8}}{\sigma_{17}},,
19,5.0,16 11,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.2(3), \ {\zeta_{5}}{\bar{\nu}_{16}} = 0",1.0,{\zeta_{5}}{\bar{\nu}_{16}},0,,
19,7.0,16 10,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.2(3), \ {\zeta_{7}}{\varepsilon_{18}} = 0",1.0,{\zeta_{7}}{\varepsilon_{18}},0,,
19,3.0,10 16,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.2(5), \ {\varepsilon_{3}}{\zeta_{11}} = 0",1.0,{\varepsilon_{3}}{\zeta_{11}},0,,
19,5.0,4 2 208,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.2(8), \ {\nu_{5}}{\eta_{8}}{\alpha_{1}^{IV}} = 0",1.0,{\nu_{5}}{\eta_{8}}{\alpha_{1}^{IV}},0,,
19,13.0,4 34,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (5.32), \ {\nu_{13}}{\omega_{16}} = 0",1.0,{\nu_{13}}{\omega_{16}},0,,
20,3.0,2 49,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"(16.1), \ E (\eta_2\bar{\mu}')=0",0.0,\eta3E\bar{\mu}',0,,
20,3.0,2 3 12 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Lem5.7, \ E (\eta_2\nu')=0",0.0,\eta3E\nu'\mu7\sigma16,0,,
20,5.0,3 38,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MT]p46, \ \Delta(\bar{\mu}_9)=E \nu'\bar{\mu}_7",0.0,E^2\nu'\bar{\mu}8,0,,
20,5.0,3 2 12 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"(5.11), \ \Delta(\eta_9)=E \nu'\eta_7",0.0,E^2\nu'\eta8\mu9\sigma18,0,,
20,5.0,4 8 2 12,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MT]p46, \ \Delta(\sigma_9\eta_{16}\mu_{17})=\nu4\sigma'\eta_{14}\mu_{15}+E \nu'\varepsilon_7\mu_{15}",0.0,\nu5E\sigma'\eta15\mu16,0,,
20,6.0,4 4 23,1.0,0 2 0 0 0 0 0 0 0 0 0 0,"Lem15.3, \ 2\bar{\kappa}'=\nu_{6}^2\kappa_{12}",2.0,\nu6^2\kappa12,2\bar{\kappa}',,
20,6.0,4 38,1.0,16 0 0 0 0 0 0 0 0 0 0 0,"(16.6), \ \nu_6\bar{\mu}_9=16\Delta(\rho_{13})",2.0,\nu6\bar{\mu}9,16\Delta(\rho13),,
20,6.0,4 2 12 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"(5.9), \ \nu_6\eta_9=0",0.0,\nu6\eta9\mu10\sigma19,0,,
20,7.0,55,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"(16.7), \ 2\bar{\kappa}_7=\pm E \bar{\kappa}'",4.0,E\bar{\kappa}',2\bar{\kappa}7,,
20,11.0,57,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"Lem16.1, \ E \beta'=\theta'\varepsilon_{23}",2.0,E\beta',\theta'\varepsilon23,,
20,12.0,58,1.0,0 0 1 0 0 0 0 0 0 0 0 0,"Lem16.2, \ \Delta(\mu_{25})=E \beta''",2.0,E\beta'',\Delta(\mu25),,
20,13.0,20 10,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"(16.11), \ \Delta(\eta_{25}\varepsilon_{26})=E \theta'\varepsilon_{24}",0.0,E^2\theta'\varepsilon25,0,,
20,14.0,21 10,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"(16.10), \ \Delta(\varepsilon_{27})=E \theta\varepsilon_{25}",0.0,E^2\theta\varepsilon26,0,,
20,14.0,21 11,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"(16.10), \ \Delta(\bar{\nu}_{27})=E \theta\bar{\nu}_{25}",0.0,E^2\theta\bar{\nu}26,0,,
20,14.0,60,1.0,8 0 0 0 0 0 0 0 0 0 0 0,"Lem16.3, \ E ^2\beta'''=8\Delta(\sigma_{29})",2.0,E^2\beta''',8\Delta(\sigma29),,
20,20.0,63,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"Lem16.4, \ E \bar{\beta}=\Delta(\eta_{41})",2.0,E\bar{\beta},\Delta(\eta41),,
